student_id,risk_score,risk_level,predicted_dropout_reason,updated_at
92,50,Medium,,2026-04-23T17:41:32.378786Z
93,42,Medium,,2026-05-02T17:41:32.378786Z
94,79,High,Mental health concerns,2026-05-07T17:41:32.378786Z
95,55,Medium,,2026-05-01T17:41:32.378786Z
96,65,Medium,,2026-04-23T17:41:32.378786Z
97,40,Medium,,2026-04-29T17:41:32.378786Z
98,76,High,Mental health concerns,2026-04-25T17:41:32.378786Z
99,44,Medium,,2026-04-26T17:41:32.378786Z
100,64,Medium,,2026-05-06T17:41:32.378786Z
101,58,Medium,,2026-04-23T17:41:32.378786Z
102,51,Medium,,2026-04-29T17:41:32.378786Z
103,74,High,Financial constraints,2026-05-03T17:41:32.378786Z
104,73,High,Attendance issues,2026-05-02T17:41:32.378786Z
105,83,High,Financial constraints,2026-04-29T17:41:32.378786Z
106,70,High,Poor academic performance,2026-04-29T17:41:32.378786Z
107,83,High,Poor academic performance,2026-04-26T17:41:32.378786Z
108,70,High,Poor academic performance,2026-05-04T17:41:32.378786Z
109,82,High,Mental health concerns,2026-04-27T17:41:32.378786Z
110,58,Medium,,2026-04-27T17:41:32.378786Z
111,67,High,Financial constraints,2026-04-25T17:41:32.378786Z
112,57,Medium,,2026-04-27T17:41:32.378786Z
113,77,High,Poor academic performance,2026-05-03T17:41:32.378786Z
114,50,Medium,,2026-05-04T17:41:32.378786Z
115,68,High,Mental health concerns,2026-05-01T17:41:32.378786Z
116,58,Medium,,2026-05-05T17:41:32.378786Z
117,40,Medium,,2026-05-05T17:41:32.378786Z
118,48,Medium,,2026-04-27T17:41:32.378786Z
119,68,High,Low engagement,2026-04-24T17:41:32.378786Z
120,74,High,Financial constraints,2026-05-06T17:41:32.378786Z
121,84,High,Mental health concerns,2026-05-07T17:41:32.378786Z
122,75,High,Attendance issues,2026-05-01T17:41:32.378786Z
123,57,Medium,,2026-05-01T17:41:32.378786Z
124,65,Medium,,2026-04-23T17:41:32.378786Z
125,71,High,Low engagement,2026-05-04T17:41:32.378786Z
126,63,Medium,,2026-05-03T17:41:32.378786Z
127,65,Medium,,2026-04-30T17:41:32.378786Z
128,65,Medium,,2026-04-23T17:41:32.378786Z
129,58,Medium,,2026-04-27T17:41:32.378786Z
130,51,Medium,,2026-05-06T17:41:32.378786Z
131,65,Medium,,2026-05-05T17:41:32.378786Z
132,77,High,Attendance issues,2026-05-07T17:41:32.378786Z
133,40,Medium,,2026-05-04T17:41:32.378786Z
134,52,Medium,,2026-04-24T17:41:32.378786Z
135,54,Medium,,2026-04-26T17:41:32.378786Z
136,70,High,Attendance issues,2026-04-29T17:41:32.378786Z
137,49,Medium,,2026-04-26T17:41:32.378786Z
138,62,Medium,,2026-04-23T17:41:32.378786Z
139,53,Medium,,2026-04-27T17:41:32.378786Z
140,59,Medium,,2026-04-27T17:41:32.378786Z
141,83,High,Attendance issues,2026-05-06T17:41:32.378786Z
142,70,High,Mental health concerns,2026-05-04T17:41:32.378786Z
143,75,High,Attendance issues,2026-05-05T17:41:32.378786Z
144,46,Medium,,2026-05-01T17:41:32.378786Z
145,52,Medium,,2026-04-27T17:41:32.378786Z
146,66,High,Low engagement,2026-04-24T17:41:32.378786Z
147,74,High,Attendance issues,2026-05-02T17:41:32.378786Z
148,51,Medium,,2026-04-25T17:41:32.378786Z
149,46,Medium,,2026-05-05T17:41:32.378786Z
150,58,Medium,,2026-04-25T17:41:32.378786Z
151,46,Medium,,2026-05-04T17:41:32.378786Z
152,49,Medium,,2026-05-07T17:41:32.378786Z
153,80,High,Low engagement,2026-05-06T17:41:32.378786Z
154,76,High,Attendance issues,2026-04-25T17:41:32.378786Z
155,69,High,Financial constraints,2026-05-06T17:41:32.378786Z
156,41,Medium,,2026-05-06T17:41:32.378786Z
157,43,Medium,,2026-04-29T17:41:32.378786Z
158,82,High,Low engagement,2026-04-28T17:41:32.378786Z
159,71,High,Mental health concerns,2026-04-25T17:41:32.378786Z
160,58,Medium,,2026-05-04T17:41:32.378786Z
161,43,Medium,,2026-04-27T17:41:32.378786Z
162,49,Medium,,2026-05-02T17:41:32.378786Z
163,83,High,Attendance issues,2026-05-02T17:41:32.378786Z
164,79,High,Low engagement,2026-04-27T17:41:32.378786Z
165,48,Medium,,2026-04-25T17:41:32.378786Z
166,58,Medium,,2026-04-24T17:41:32.378786Z
167,43,Medium,,2026-05-01T17:41:32.378786Z
168,61,Medium,,2026-05-06T17:41:32.378786Z
169,62,Medium,,2026-04-25T17:41:32.378786Z
170,55,Medium,,2026-05-06T17:41:32.378786Z
171,63,Medium,,2026-04-29T17:41:32.378786Z
172,84,High,Attendance issues,2026-04-28T17:41:32.378786Z
173,42,Medium,,2026-04-28T17:41:32.378786Z
174,46,Medium,,2026-04-26T17:41:32.378786Z
175,77,High,Mental health concerns,2026-04-23T17:41:32.378786Z
176,52,Medium,,2026-04-25T17:41:32.378786Z
177,46,Medium,,2026-05-02T17:41:32.378786Z
178,84,High,Low engagement,2026-04-28T17:41:32.378786Z
179,65,Medium,,2026-05-05T17:41:32.378786Z
180,41,Medium,,2026-05-04T17:41:32.378786Z
181,75,High,Poor academic performance,2026-05-06T17:41:32.378786Z
182,50,Medium,,2026-05-03T17:41:32.378786Z
183,59,Medium,,2026-05-05T17:41:32.378786Z
184,41,Medium,,2026-05-07T17:41:32.378786Z
185,59,Medium,,2026-04-24T17:41:32.378786Z
186,50,Medium,,2026-05-03T17:41:32.378786Z
187,83,High,Low engagement,2026-04-24T17:41:32.378786Z
188,75,High,Low engagement,2026-04-23T17:41:32.378786Z
189,43,Medium,,2026-04-30T17:41:32.378786Z
190,68,High,Mental health concerns,2026-05-02T17:41:32.378786Z
191,67,High,Financial constraints,2026-05-03T17:41:32.378786Z
192,60,Medium,,2026-05-01T17:41:32.378786Z
193,67,High,Low engagement,2026-04-26T17:41:32.378786Z
194,43,Medium,,2026-05-05T17:41:32.378786Z
195,44,Medium,,2026-04-25T17:41:32.378786Z
196,41,Medium,,2026-05-05T17:41:32.378786Z
197,52,Medium,,2026-04-27T17:41:32.378786Z
198,74,High,Low engagement,2026-05-01T17:41:32.378786Z
199,58,Medium,,2026-04-24T17:41:32.378786Z
200,68,High,Low engagement,2026-05-01T17:41:32.378786Z
201,70,High,Low engagement,2026-05-05T17:41:32.378786Z
202,80,High,Mental health concerns,2026-05-01T17:41:32.378786Z
203,82,High,Low engagement,2026-04-29T17:41:32.378786Z
204,81,High,Low engagement,2026-04-27T17:41:32.378786Z
205,52,Medium,,2026-04-24T17:41:32.378786Z
206,54,Medium,,2026-04-27T17:41:32.378786Z
207,49,Medium,,2026-04-24T17:41:32.378786Z
208,54,Medium,,2026-04-24T17:41:32.378786Z
209,57,Medium,,2026-05-04T17:41:32.378786Z
210,76,High,Poor academic performance,2026-05-02T17:41:32.378786Z
211,68,High,Mental health concerns,2026-04-25T17:41:32.378786Z
212,62,Medium,,2026-04-26T17:41:32.378786Z
213,43,Medium,,2026-05-07T17:41:32.378786Z
214,65,Medium,,2026-05-05T17:41:32.378786Z
215,75,High,Attendance issues,2026-04-24T17:41:32.378786Z
216,55,Medium,,2026-04-28T17:41:32.378786Z
217,65,Medium,,2026-04-27T17:41:32.378786Z
218,54,Medium,,2026-04-26T17:41:32.378786Z
219,57,Medium,,2026-04-24T17:41:32.378786Z
220,48,Medium,,2026-04-24T17:41:32.378786Z
221,84,High,Mental health concerns,2026-04-26T17:41:32.378786Z
222,67,High,Low engagement,2026-04-28T17:41:32.378786Z
223,50,Medium,,2026-04-24T17:41:32.378786Z
224,60,Medium,,2026-05-03T17:41:32.378786Z
225,68,High,Attendance issues,2026-05-05T17:41:32.378786Z
226,80,High,Poor academic performance,2026-04-25T17:41:32.378786Z
227,82,High,Poor academic performance,2026-04-25T17:41:32.378786Z
228,66,High,Mental health concerns,2026-05-06T17:41:32.378786Z
229,66,High,Attendance issues,2026-04-25T17:41:32.378786Z
230,80,High,Mental health concerns,2026-04-25T17:41:32.378786Z
231,84,High,Attendance issues,2026-04-26T17:41:32.378786Z
232,49,Medium,,2026-05-01T17:41:32.378786Z
233,47,Medium,,2026-04-23T17:41:32.378786Z
234,60,Medium,,2026-05-06T17:41:32.378786Z
235,53,Medium,,2026-04-30T17:41:32.378786Z
236,44,Medium,,2026-05-03T17:41:32.378786Z
237,83,High,Mental health concerns,2026-04-24T17:41:32.378786Z
238,74,High,Financial constraints,2026-04-28T17:41:32.378786Z
239,70,High,Attendance issues,2026-04-28T17:41:32.378786Z
240,45,Medium,,2026-05-07T17:41:32.378786Z
241,48,Medium,,2026-05-07T17:41:32.378786Z
242,58,Medium,,2026-04-25T17:41:32.378786Z
243,46,Medium,,2026-05-02T17:41:32.378786Z
244,47,Medium,,2026-04-23T17:41:32.378786Z
245,62,Medium,,2026-05-01T17:41:32.378786Z
246,47,Medium,,2026-04-26T17:41:32.378786Z
247,42,Medium,,2026-05-03T17:41:32.378786Z
248,69,High,Financial constraints,2026-04-28T17:41:32.378786Z
249,59,Medium,,2026-04-27T17:41:32.378786Z
250,57,Medium,,2026-04-29T17:41:32.378786Z
251,43,Medium,,2026-05-02T17:41:32.378786Z
252,59,Medium,,2026-05-07T17:41:32.378786Z
253,63,Medium,,2026-05-05T17:41:32.378786Z
254,57,Medium,,2026-05-03T17:41:32.378786Z
255,81,High,Poor academic performance,2026-04-27T17:41:32.378786Z
256,57,Medium,,2026-05-07T17:41:32.378786Z
257,71,High,Attendance issues,2026-04-30T17:41:32.378786Z
258,43,Medium,,2026-04-27T17:41:32.378786Z
259,65,Medium,,2026-05-01T17:41:32.378786Z
260,76,High,Poor academic performance,2026-04-27T17:41:32.378786Z
261,50,Medium,,2026-04-29T17:41:32.378786Z
262,72,High,Financial constraints,2026-04-25T17:41:32.378786Z
263,67,High,Low engagement,2026-04-23T17:41:32.378786Z
264,57,Medium,,2026-05-02T17:41:32.378786Z
265,76,High,Low engagement,2026-05-01T17:41:32.378786Z
266,42,Medium,,2026-05-03T17:41:32.378786Z
267,62,Medium,,2026-04-29T17:41:32.378786Z
268,40,Medium,,2026-05-01T17:41:32.378786Z
269,79,High,Attendance issues,2026-04-27T17:41:32.378786Z
270,52,Medium,,2026-04-23T17:41:32.378786Z
271,61,Medium,,2026-04-28T17:41:32.378786Z
272,44,Medium,,2026-05-05T17:41:32.378786Z
273,41,Medium,,2026-04-27T17:41:32.378786Z
274,67,High,Mental health concerns,2026-04-25T17:41:32.378786Z
275,64,Medium,,2026-05-01T17:41:32.378786Z
276,81,High,Financial constraints,2026-05-01T17:41:32.378786Z
277,78,High,Mental health concerns,2026-05-01T17:41:32.378786Z
278,65,Medium,,2026-04-25T17:41:32.378786Z
279,76,High,Mental health concerns,2026-04-29T17:41:32.378786Z
280,79,High,Financial constraints,2026-04-23T17:41:32.378786Z
281,60,Medium,,2026-04-23T17:41:32.378786Z
282,56,Medium,,2026-04-25T17:41:32.378786Z
283,54,Medium,,2026-04-30T17:41:32.378786Z
284,55,Medium,,2026-05-06T17:41:32.378786Z
285,67,High,Financial constraints,2026-05-05T17:41:32.378786Z
286,47,Medium,,2026-04-26T17:41:32.378786Z
287,62,Medium,,2026-04-27T17:41:32.378786Z
288,71,High,Poor academic performance,2026-05-06T17:41:32.378786Z
289,44,Medium,,2026-04-24T17:41:32.378786Z
290,42,Medium,,2026-05-05T17:41:32.378786Z
291,75,High,Poor academic performance,2026-05-02T17:41:32.378786Z
292,78,High,Poor academic performance,2026-05-04T17:41:32.378786Z
293,69,High,Attendance issues,2026-04-24T17:41:32.378786Z
294,51,Medium,,2026-04-24T17:41:32.378786Z
295,83,High,Mental health concerns,2026-05-02T17:41:32.378786Z
296,51,Medium,,2026-04-29T17:41:32.378786Z
297,47,Medium,,2026-05-03T17:41:32.378786Z
298,57,Medium,,2026-04-23T17:41:32.378786Z
299,82,High,Poor academic performance,2026-05-06T17:41:32.378786Z
300,68,High,Low engagement,2026-05-02T17:41:32.378786Z
301,50,Medium,,2026-05-07T17:41:32.378786Z
302,56,Medium,,2026-04-23T17:41:32.378786Z
303,52,Medium,,2026-05-04T17:41:32.378786Z
304,70,High,Low engagement,2026-05-04T17:41:32.378786Z
305,52,Medium,,2026-04-29T17:41:32.378786Z
306,72,High,Financial constraints,2026-05-07T17:41:32.378786Z
307,70,High,Mental health concerns,2026-05-04T17:41:32.378786Z
308,72,High,Poor academic performance,2026-05-04T17:41:32.378786Z
309,78,High,Low engagement,2026-05-07T17:41:32.378786Z
310,57,Medium,,2026-04-23T17:41:32.378786Z
311,78,High,Mental health concerns,2026-05-03T17:41:32.378786Z
312,43,Medium,,2026-04-23T17:41:32.378786Z
313,51,Medium,,2026-04-26T17:41:32.378786Z
314,80,High,Attendance issues,2026-04-23T17:41:32.378786Z
315,53,Medium,,2026-04-25T17:41:32.378786Z
316,81,High,Low engagement,2026-04-25T17:41:32.378786Z
317,44,Medium,,2026-04-23T17:41:32.378786Z
318,49,Medium,,2026-04-29T17:41:32.378786Z
319,74,High,Poor academic performance,2026-04-27T17:41:32.378786Z
320,47,Medium,,2026-04-30T17:41:32.378786Z
321,45,Medium,,2026-04-30T17:41:32.378786Z
322,58,Medium,,2026-04-29T17:41:32.378786Z
323,78,High,Attendance issues,2026-05-07T17:41:32.378786Z
324,50,Medium,,2026-05-06T17:41:32.378786Z
325,43,Medium,,2026-05-01T17:41:32.378786Z
326,43,Medium,,2026-05-05T17:41:32.378786Z
327,74,High,Poor academic performance,2026-04-30T17:41:32.378786Z
328,56,Medium,,2026-04-28T17:41:32.378786Z
329,46,Medium,,2026-04-23T17:41:32.378786Z
330,51,Medium,,2026-05-06T17:41:32.378786Z
331,62,Medium,,2026-04-27T17:41:32.378786Z
332,84,High,Low engagement,2026-04-25T17:41:32.378786Z
333,54,Medium,,2026-05-01T17:41:32.378786Z
334,78,High,Attendance issues,2026-05-05T17:41:32.378786Z
335,41,Medium,,2026-05-02T17:41:32.378786Z
336,40,Medium,,2026-04-29T17:41:32.378786Z
337,50,Medium,,2026-04-25T17:41:32.378786Z
338,48,Medium,,2026-04-25T17:41:32.378786Z
339,75,High,Attendance issues,2026-05-02T17:41:32.378786Z
340,62,Medium,,2026-04-30T17:41:32.378786Z
341,41,Medium,,2026-04-25T17:41:32.378786Z
342,42,Medium,,2026-05-02T17:41:32.378786Z
343,45,Medium,,2026-05-01T17:41:32.378786Z
344,75,High,Attendance issues,2026-04-29T17:41:32.378786Z
345,61,Medium,,2026-04-29T17:41:32.378786Z
346,78,High,Financial constraints,2026-04-24T17:41:32.378786Z
347,56,Medium,,2026-05-02T17:41:32.378786Z
348,71,High,Poor academic performance,2026-05-05T17:41:32.378786Z
349,56,Medium,,2026-05-04T17:41:32.378786Z
350,70,High,Low engagement,2026-04-23T17:41:32.378786Z
351,64,Medium,,2026-04-29T17:41:32.378786Z
352,54,Medium,,2026-04-25T17:41:32.378786Z
353,76,High,Low engagement,2026-05-02T17:41:32.378786Z
354,82,High,Poor academic performance,2026-05-03T17:41:32.378786Z
355,69,High,Poor academic performance,2026-04-29T17:41:32.378786Z
356,51,Medium,,2026-05-05T17:41:32.378786Z
357,62,Medium,,2026-04-30T17:41:32.378786Z
358,77,High,Attendance issues,2026-04-30T17:41:32.378786Z
359,67,High,Financial constraints,2026-05-01T17:41:32.378786Z
360,43,Medium,,2026-04-26T17:41:32.378786Z
361,83,High,Poor academic performance,2026-04-29T17:41:32.378786Z
362,60,Medium,,2026-04-30T17:41:32.378786Z
363,71,High,Mental health concerns,2026-04-30T17:41:32.378786Z
364,81,High,Poor academic performance,2026-05-07T17:41:32.378786Z
365,56,Medium,,2026-05-02T17:41:32.378786Z
366,75,High,Poor academic performance,2026-04-26T17:41:32.378786Z
367,43,Medium,,2026-04-29T17:41:32.378786Z
368,68,High,Poor academic performance,2026-05-06T17:41:32.378786Z
369,68,High,Poor academic performance,2026-05-01T17:41:32.378786Z
370,79,High,Low engagement,2026-04-30T17:41:32.378786Z
371,47,Medium,,2026-04-26T17:41:32.378786Z
372,44,Medium,,2026-05-06T17:41:32.378786Z
373,73,High,Attendance issues,2026-05-04T17:41:32.378786Z
374,84,High,Low engagement,2026-05-07T17:41:32.378786Z
375,48,Medium,,2026-05-06T17:41:32.378786Z
376,72,High,Attendance issues,2026-05-02T17:41:32.378786Z
377,78,High,Mental health concerns,2026-05-01T17:41:32.378786Z
378,43,Medium,,2026-05-02T17:41:32.378786Z
379,53,Medium,,2026-05-03T17:41:32.378786Z
380,72,High,Poor academic performance,2026-05-04T17:41:32.378786Z
381,81,High,Mental health concerns,2026-04-24T17:41:32.378786Z
382,63,Medium,,2026-04-25T17:41:32.378786Z
383,79,High,Attendance issues,2026-05-04T17:41:32.378786Z
384,74,High,Poor academic performance,2026-04-23T17:41:32.378786Z
385,72,High,Mental health concerns,2026-04-23T17:41:32.378786Z
386,64,Medium,,2026-04-28T17:41:32.378786Z
387,65,Medium,,2026-04-28T17:41:32.378786Z
388,63,Medium,,2026-05-06T17:41:32.378786Z
389,83,High,Low engagement,2026-04-26T17:41:32.378786Z
390,75,High,Attendance issues,2026-05-04T17:41:32.378786Z
391,71,High,Mental health concerns,2026-04-28T17:41:32.378786Z
392,62,Medium,,2026-04-26T17:41:32.378786Z
393,52,Medium,,2026-04-26T17:41:32.378786Z
394,68,High,Mental health concerns,2026-04-26T17:41:32.378786Z
395,66,High,Low engagement,2026-04-26T17:41:32.378786Z
396,61,Medium,,2026-04-29T17:41:32.378786Z
397,80,High,Financial constraints,2026-04-29T17:41:32.378786Z
398,66,High,Poor academic performance,2026-05-06T17:41:32.378786Z
399,68,High,Mental health concerns,2026-05-05T17:41:32.378786Z
400,62,Medium,,2026-05-03T17:41:32.378786Z
401,75,High,Financial constraints,2026-04-23T17:41:32.378786Z
402,75,High,Poor academic performance,2026-04-30T17:41:32.378786Z
403,44,Medium,,2026-04-28T17:41:32.378786Z
404,45,Medium,,2026-04-23T17:41:32.378786Z
405,75,High,Low engagement,2026-05-05T17:41:32.378786Z
406,77,High,Poor academic performance,2026-04-24T17:41:32.378786Z
407,57,Medium,,2026-05-03T17:41:32.378786Z
408,59,Medium,,2026-04-23T17:41:32.378786Z
409,45,Medium,,2026-05-07T17:41:32.378786Z
410,71,High,Poor academic performance,2026-04-27T17:41:32.378786Z
411,79,High,Attendance issues,2026-04-26T17:41:32.378786Z
412,42,Medium,,2026-04-26T17:41:32.378786Z
413,45,Medium,,2026-04-29T17:41:32.378786Z
414,75,High,Financial constraints,2026-04-29T17:41:32.378786Z
415,64,Medium,,2026-04-30T17:41:32.378786Z
416,63,Medium,,2026-04-24T17:41:32.378786Z
417,62,Medium,,2026-05-07T17:41:32.378786Z
418,64,Medium,,2026-05-04T17:41:32.378786Z
419,66,High,Financial constraints,2026-04-24T17:41:32.378786Z
420,40,Medium,,2026-04-25T17:41:32.378786Z
421,69,High,Low engagement,2026-05-07T17:41:32.378786Z
422,54,Medium,,2026-04-30T17:41:32.378786Z
423,68,High,Poor academic performance,2026-05-05T17:41:32.378786Z
424,46,Medium,,2026-04-29T17:41:32.378786Z
425,46,Medium,,2026-05-06T17:41:32.378786Z
426,46,Medium,,2026-05-05T17:41:32.378786Z
427,49,Medium,,2026-04-27T17:41:32.378786Z
428,60,Medium,,2026-05-06T17:41:32.378786Z
429,58,Medium,,2026-04-23T17:41:32.378786Z
430,75,High,Mental health concerns,2026-05-01T17:41:32.378786Z
431,46,Medium,,2026-04-29T17:41:32.378786Z
432,77,High,Mental health concerns,2026-04-25T17:41:32.378786Z
433,73,High,Financial constraints,2026-05-05T17:41:32.378786Z
434,65,Medium,,2026-04-26T17:41:32.378786Z
435,49,Medium,,2026-04-28T17:41:32.378786Z
436,75,High,Low engagement,2026-04-23T17:41:32.378786Z
437,71,High,Attendance issues,2026-04-27T17:41:32.378786Z
438,58,Medium,,2026-04-24T17:41:32.378786Z
439,65,Medium,,2026-05-05T17:41:32.378786Z
440,55,Medium,,2026-05-07T17:41:32.378786Z
441,44,Medium,,2026-05-01T17:41:32.378786Z
442,55,Medium,,2026-05-01T17:41:32.378786Z
443,83,High,Attendance issues,2026-04-29T17:41:32.378786Z
444,69,High,Poor academic performance,2026-05-06T17:41:32.378786Z
445,76,High,Attendance issues,2026-04-27T17:41:32.378786Z
446,43,Medium,,2026-05-04T17:41:32.378786Z
447,40,Medium,,2026-04-29T17:41:32.378786Z
448,48,Medium,,2026-05-03T17:41:32.378786Z
449,58,Medium,,2026-04-29T17:41:32.378786Z
450,80,High,Mental health concerns,2026-04-27T17:41:32.378786Z
451,71,High,Financial constraints,2026-05-02T17:41:32.378786Z
452,80,High,Attendance issues,2026-05-05T17:41:32.378786Z
453,79,High,Financial constraints,2026-04-26T17:41:32.378786Z
454,74,High,Mental health concerns,2026-04-27T17:41:32.378786Z
455,81,High,Low engagement,2026-05-03T17:41:32.378786Z
456,59,Medium,,2026-04-26T17:41:32.378786Z
457,42,Medium,,2026-04-25T17:41:32.378786Z
458,68,High,Mental health concerns,2026-05-06T17:41:32.378786Z
459,81,High,Financial constraints,2026-04-26T17:41:32.378786Z
460,69,High,Attendance issues,2026-04-23T17:41:32.378786Z
461,68,High,Mental health concerns,2026-04-25T17:41:32.378786Z
462,56,Medium,,2026-05-02T17:41:32.378786Z
463,59,Medium,,2026-05-03T17:41:32.378786Z
464,77,High,Mental health concerns,2026-05-04T17:41:32.378786Z
465,62,Medium,,2026-04-25T17:41:32.378786Z
466,76,High,Low engagement,2026-05-04T17:41:32.378786Z
467,50,Medium,,2026-05-01T17:41:32.378786Z
468,76,High,Financial constraints,2026-05-02T17:41:32.378786Z
469,59,Medium,,2026-05-05T17:41:32.378786Z
470,63,Medium,,2026-04-30T17:41:32.378786Z
471,65,Medium,,2026-04-30T17:41:32.378786Z
472,63,Medium,,2026-05-02T17:41:32.378786Z
473,59,Medium,,2026-05-02T17:41:32.378786Z
474,49,Medium,,2026-05-01T17:41:32.378786Z
475,81,High,Attendance issues,2026-05-06T17:41:32.378786Z
476,63,Medium,,2026-04-28T17:41:32.378786Z
477,81,High,Attendance issues,2026-05-04T17:41:32.378786Z
478,50,Medium,,2026-04-29T17:41:32.378786Z
479,83,High,Mental health concerns,2026-04-27T17:41:32.378786Z
480,60,Medium,,2026-05-03T17:41:32.378786Z
481,76,High,Financial constraints,2026-04-24T17:41:32.378786Z
482,79,High,Poor academic performance,2026-04-28T17:41:32.378786Z
483,57,Medium,,2026-04-27T17:41:32.378786Z
484,48,Medium,,2026-04-24T17:41:32.378786Z
