student_id,week,avg_session_time,videos_completed,assignments_submitted,forum_posts,gpa_trend,created_at
23,8,1.0,0,1,2,3.31,2026-05-03T17:41:32.307679Z
24,1,23.9,3,0,0,2.99,2026-03-17T17:41:32.307679Z
24,2,16.8,3,2,0,2.83,2026-03-24T17:41:32.307679Z
24,3,17.3,3,1,2,2.89,2026-03-26T17:41:32.307679Z
24,4,26.0,1,1,1,2.74,2026-04-03T17:41:32.307679Z
24,5,20.0,4,6,2,2.72,2026-04-12T17:41:32.307679Z
24,6,1.0,3,1,2,2.56,2026-04-19T17:41:32.307679Z
24,7,1.9,0,3,2,2.6,2026-04-23T17:41:32.307679Z
24,8,1.0,4,5,1,2.62,2026-05-04T17:41:32.307679Z
25,1,26.9,6,3,0,3.53,2026-03-15T17:41:32.307679Z
25,2,22.6,5,2,2,3.49,2026-03-19T17:41:32.307679Z
25,3,27.5,6,2,0,3.32,2026-03-27T17:41:32.307679Z
25,4,22.6,3,2,0,3.31,2026-04-03T17:41:32.307679Z
25,5,28.1,2,4,2,3.23,2026-04-12T17:41:32.307679Z
25,6,28.2,0,2,1,3.34,2026-04-19T17:41:32.307679Z
25,7,9.1,4,4,1,3.29,2026-04-29T17:41:32.307679Z
25,8,7.9,2,3,0,3.2,2026-05-01T17:41:32.307679Z
26,1,50.2,6,1,0,2.78,2026-03-18T17:41:32.307679Z
26,2,46.7,8,2,2,2.7,2026-03-20T17:41:32.307679Z
26,3,46.3,4,1,1,2.63,2026-03-30T17:41:32.307679Z
26,4,34.8,0,2,1,2.51,2026-04-07T17:41:32.307679Z
26,5,48.1,5,2,0,2.53,2026-04-15T17:41:32.307679Z
26,6,38.5,2,0,1,2.43,2026-04-21T17:41:32.307679Z
26,7,17.4,4,1,2,2.37,2026-04-23T17:41:32.307679Z
26,8,18.1,2,3,1,2.3,2026-05-02T17:41:32.307679Z
27,1,22.9,3,2,0,2.63,2026-03-16T17:41:32.307679Z
27,2,23.1,5,1,1,2.6,2026-03-25T17:41:32.307679Z
27,3,19.4,6,3,0,2.53,2026-03-30T17:41:32.307679Z
27,4,27.3,5,3,3,2.52,2026-04-05T17:41:32.307679Z
27,5,10.1,2,0,2,2.41,2026-04-15T17:41:32.307679Z
27,6,1.0,0,0,2,2.26,2026-04-17T17:41:32.307679Z
27,7,1.0,4,3,1,2.36,2026-04-23T17:41:32.307679Z
27,8,14.1,4,3,2,2.21,2026-04-30T17:41:32.307679Z
28,1,49.0,5,1,3,3.44,2026-03-13T17:41:32.307679Z
28,2,50.7,6,4,3,3.37,2026-03-21T17:41:32.307679Z
28,3,45.4,3,4,2,3.34,2026-03-30T17:41:32.307679Z
28,4,40.9,7,5,2,3.28,2026-04-07T17:41:32.307679Z
28,5,37.4,6,2,1,3.33,2026-04-12T17:41:32.307679Z
28,6,45.5,7,4,2,3.24,2026-04-20T17:41:32.307679Z
28,7,21.5,7,3,2,3.23,2026-04-24T17:41:32.307679Z
28,8,12.9,5,0,1,3.03,2026-05-05T17:41:32.307679Z
29,1,47.0,1,2,3,3.83,2026-03-12T17:41:32.307679Z
29,2,43.0,4,1,2,3.66,2026-03-19T17:41:32.307679Z
29,3,46.3,7,4,2,3.69,2026-03-29T17:41:32.307679Z
29,4,38.3,3,2,0,3.68,2026-04-06T17:41:32.307679Z
29,5,51.9,7,3,1,3.56,2026-04-14T17:41:32.307679Z
29,6,37.8,5,3,0,3.53,2026-04-21T17:41:32.307679Z
29,7,46.4,3,5,2,3.46,2026-04-28T17:41:32.307679Z
29,8,46.7,0,5,1,3.49,2026-05-02T17:41:32.307679Z
30,1,54.7,7,3,1,2.43,2026-03-13T17:41:32.307679Z
30,2,57.8,6,2,2,2.5,2026-03-23T17:41:32.307679Z
30,3,53.4,3,2,3,2.43,2026-03-26T17:41:32.307679Z
30,4,47.3,6,4,1,2.38,2026-04-04T17:41:32.307679Z
30,5,39.7,4,4,2,2.35,2026-04-10T17:41:32.307679Z
30,6,56.5,2,4,1,2.26,2026-04-20T17:41:32.307679Z
30,7,36.5,4,4,2,2.15,2026-04-25T17:41:32.307679Z
30,8,45.2,0,2,0,2.23,2026-05-01T17:41:32.307679Z
31,1,46.6,5,1,3,2.91,2026-03-14T17:41:32.307679Z
31,2,38.4,6,1,1,3.02,2026-03-19T17:41:32.307679Z
31,3,42.4,6,1,2,2.95,2026-03-27T17:41:32.307679Z
31,4,31.4,1,0,1,2.84,2026-04-08T17:41:32.307679Z
31,5,42.5,5,1,2,2.8,2026-04-09T17:41:32.307679Z
31,6,35.3,2,1,0,2.81,2026-04-20T17:41:32.307679Z
31,7,25.1,3,3,0,2.77,2026-04-24T17:41:32.307679Z
31,8,16.1,1,2,2,2.64,2026-04-30T17:41:32.307679Z
32,1,30.8,5,1,3,2.76,2026-03-17T17:41:32.307679Z
32,2,30.7,2,0,1,2.87,2026-03-21T17:41:32.307679Z
32,3,24.3,3,4,0,2.67,2026-03-28T17:41:32.307679Z
32,4,27.9,1,1,1,2.77,2026-04-05T17:41:32.307679Z
32,5,15.4,7,3,1,2.65,2026-04-11T17:41:32.307679Z
32,6,21.1,4,1,3,2.52,2026-04-17T17:41:32.307679Z
32,7,14.0,5,4,0,2.58,2026-04-26T17:41:32.307679Z
32,8,25.1,3,2,1,2.53,2026-04-30T17:41:32.307679Z
33,1,59.9,2,2,3,2.8,2026-03-17T17:41:32.307679Z
33,2,49.5,4,4,2,2.77,2026-03-25T17:41:32.307679Z
33,3,47.0,3,3,0,2.64,2026-03-30T17:41:32.307679Z
33,4,53.1,2,2,2,2.59,2026-04-03T17:41:32.307679Z
33,5,42.9,6,3,3,2.59,2026-04-13T17:41:32.307679Z
33,6,52.5,1,2,1,2.53,2026-04-20T17:41:32.307679Z
33,7,24.5,0,0,1,2.51,2026-04-28T17:41:32.307679Z
33,8,28.6,2,2,2,2.38,2026-05-01T17:41:32.307679Z
34,1,56.0,6,0,2,3.21,2026-03-14T17:41:32.307679Z
34,2,52.0,2,3,1,3.25,2026-03-22T17:41:32.307679Z
34,3,49.5,4,2,0,3.1,2026-03-27T17:41:32.307679Z
34,4,43.3,3,2,2,3.1,2026-04-04T17:41:32.307679Z
34,5,51.6,1,2,3,2.96,2026-04-13T17:41:32.307679Z
34,6,33.8,3,1,2,2.92,2026-04-18T17:41:32.307679Z
34,7,39.5,2,3,2,2.87,2026-04-29T17:41:32.307679Z
34,8,24.8,2,3,2,2.84,2026-05-04T17:41:32.307679Z
35,1,43.5,2,0,2,3.55,2026-03-12T17:41:32.307679Z
35,2,41.4,2,3,2,3.45,2026-03-22T17:41:32.307679Z
35,3,37.4,3,1,3,3.45,2026-03-29T17:41:32.307679Z
35,4,47.9,2,4,1,3.32,2026-04-08T17:41:32.307679Z
35,5,30.3,3,3,2,3.23,2026-04-10T17:41:32.307679Z
35,6,39.7,3,1,2,3.26,2026-04-17T17:41:32.307679Z
35,7,28.3,3,3,1,3.31,2026-04-25T17:41:32.307679Z
35,8,33.1,6,3,4,3.17,2026-05-03T17:41:32.307679Z
36,1,39.1,6,3,3,2.98,2026-03-16T17:41:32.307679Z
36,2,38.9,3,1,0,2.85,2026-03-25T17:41:32.307679Z
36,3,38.5,4,0,3,2.79,2026-03-28T17:41:32.307679Z
36,4,43.1,1,5,1,2.69,2026-04-04T17:41:32.307679Z
36,5,31.6,0,2,1,2.67,2026-04-14T17:41:32.307679Z
36,6,14.1,5,4,1,2.61,2026-04-20T17:41:32.307679Z
36,7,37.8,1,0,1,2.64,2026-04-29T17:41:32.307679Z
36,8,29.1,2,4,0,2.51,2026-05-06T17:41:32.307679Z
37,1,25.9,2,1,1,3.88,2026-03-16T17:41:32.307679Z
37,2,26.4,4,4,1,3.79,2026-03-20T17:41:32.307679Z
37,3,16.6,4,4,1,3.84,2026-03-29T17:41:32.307679Z
37,4,2.7,3,1,3,3.79,2026-04-05T17:41:32.307679Z
37,5,2.8,0,3,2,3.7,2026-04-11T17:41:32.307679Z
37,6,17.0,3,3,2,3.58,2026-04-20T17:41:32.307679Z
37,7,8.8,1,3,2,3.56,2026-04-26T17:41:32.307679Z
37,8,13.0,0,2,1,3.45,2026-05-02T17:41:32.307679Z
38,1,49.1,6,0,1,3.32,2026-03-13T17:41:32.307679Z
38,2,49.7,4,0,1,3.34,2026-03-21T17:41:32.307679Z
38,3,52.7,5,3,2,3.18,2026-04-01T17:41:32.307679Z
38,4,40.3,5,2,2,3.2,2026-04-08T17:41:32.307679Z
38,5,41.2,6,5,2,3.15,2026-04-14T17:41:32.307679Z
38,6,40.8,3,2,2,3.09,2026-04-22T17:41:32.307679Z
38,7,29.5,1,3,1,2.97,2026-04-29T17:41:32.307679Z
38,8,12.4,2,1,1,3.06,2026-04-30T17:41:32.307679Z
39,1,24.4,4,5,1,2.91,2026-03-14T17:41:32.307679Z
39,2,22.2,6,2,2,2.86,2026-03-20T17:41:32.307679Z
39,3,19.4,7,2,2,2.66,2026-03-26T17:41:32.307679Z
39,4,9.3,4,5,2,2.7,2026-04-02T17:41:32.307679Z
39,5,25.2,7,4,1,2.69,2026-04-12T17:41:32.307679Z
39,6,4.0,4,3,1,2.63,2026-04-22T17:41:32.307679Z
39,7,1.0,0,3,3,2.47,2026-04-28T17:41:32.307679Z
39,8,4.7,1,0,2,2.57,2026-05-03T17:41:32.307679Z
40,1,39.4,1,2,1,3.41,2026-03-14T17:41:32.307679Z
40,2,41.1,5,3,1,3.37,2026-03-23T17:41:32.307679Z
40,3,45.1,6,2,3,3.32,2026-03-27T17:41:32.307679Z
40,4,27.1,4,4,3,3.3,2026-04-03T17:41:32.307679Z
40,5,39.4,2,3,1,3.21,2026-04-15T17:41:32.307679Z
40,6,18.1,5,2,1,3.24,2026-04-20T17:41:32.307679Z
40,7,11.0,3,2,1,3.18,2026-04-25T17:41:32.307679Z
40,8,11.4,5,2,2,3.2,2026-04-30T17:41:32.307679Z
41,1,29.6,4,1,2,2.62,2026-03-14T17:41:32.307679Z
41,2,22.7,6,1,3,2.51,2026-03-19T17:41:32.307679Z
41,3,21.8,7,3,3,2.49,2026-04-01T17:41:32.307679Z
41,4,21.8,5,7,2,2.55,2026-04-05T17:41:32.307679Z
41,5,8.4,3,2,0,2.46,2026-04-10T17:41:32.307679Z
41,6,15.1,4,2,2,2.43,2026-04-16T17:41:32.307679Z
41,7,1.1,4,4,1,2.26,2026-04-28T17:41:32.307679Z
41,8,14.4,4,2,1,2.24,2026-05-02T17:41:32.307679Z
42,1,48.1,2,1,1,3.15,2026-03-13T17:41:32.307679Z
42,2,38.4,3,0,0,3.14,2026-03-24T17:41:32.307679Z
42,3,41.2,5,4,2,2.96,2026-03-30T17:41:32.307679Z
42,4,31.8,5,3,0,2.88,2026-04-07T17:41:32.307679Z
42,5,36.6,3,3,1,2.9,2026-04-12T17:41:32.307679Z
42,6,34.6,1,1,3,2.8,2026-04-22T17:41:32.307679Z
42,7,25.4,4,4,0,2.8,2026-04-26T17:41:32.307679Z
42,8,44.7,4,2,2,2.65,2026-05-06T17:41:32.307679Z
43,1,30.2,8,2,2,3.48,2026-03-13T17:41:32.307679Z
43,2,29.1,7,2,1,3.38,2026-03-19T17:41:32.307679Z
43,3,38.4,4,3,2,3.24,2026-03-31T17:41:32.307679Z
43,4,21.1,4,0,1,3.23,2026-04-04T17:41:32.307679Z
43,5,31.4,8,3,0,3.3,2026-04-12T17:41:32.307679Z
43,6,6.1,0,0,1,3.16,2026-04-18T17:41:32.307679Z
43,7,1.6,1,1,1,3.05,2026-04-24T17:41:32.307679Z
43,8,1.0,0,2,0,3.02,2026-05-04T17:41:32.307679Z
44,1,46.9,1,2,2,3.39,2026-03-17T17:41:32.307679Z
44,2,46.1,2,3,2,3.29,2026-03-21T17:41:32.307679Z
44,3,38.7,0,0,3,3.35,2026-04-01T17:41:32.307679Z
44,4,42.2,2,0,2,3.23,2026-04-06T17:41:32.307679Z
44,5,31.9,0,2,1,3.25,2026-04-09T17:41:32.307679Z
44,6,29.3,5,1,1,3.2,2026-04-18T17:41:32.307679Z
44,7,50.9,3,4,2,3.12,2026-04-27T17:41:32.307679Z
44,8,25.5,0,2,1,3.0,2026-05-01T17:41:32.307679Z
45,1,22.9,5,2,0,3.1,2026-03-17T17:41:32.307679Z
45,2,23.4,7,0,2,3.04,2026-03-25T17:41:32.307679Z
45,3,15.6,3,5,1,2.86,2026-04-01T17:41:32.307679Z
45,4,23.3,3,0,2,2.82,2026-04-08T17:41:32.307679Z
45,5,21.6,3,2,2,2.81,2026-04-09T17:41:32.307679Z
45,6,16.6,1,1,3,2.73,2026-04-21T17:41:32.307679Z
45,7,1.0,0,3,1,2.71,2026-04-26T17:41:32.307679Z
45,8,17.7,2,0,2,2.71,2026-05-02T17:41:32.307679Z
46,1,19.7,6,4,0,3.19,2026-03-16T17:41:32.307679Z
46,2,17.7,4,3,2,3.19,2026-03-24T17:41:32.307679Z
46,3,8.2,3,1,1,3.17,2026-03-26T17:41:32.307679Z
46,4,6.2,5,1,3,3.16,2026-04-06T17:41:32.307679Z
46,5,15.4,4,2,0,3.12,2026-04-09T17:41:32.307679Z
46,6,1.0,5,2,1,3.07,2026-04-18T17:41:32.307679Z
46,7,24.8,4,4,2,2.96,2026-04-24T17:41:32.307679Z
46,8,3.0,3,1,1,3.0,2026-05-05T17:41:32.307679Z
47,1,49.6,6,3,1,2.55,2026-03-12T17:41:32.307679Z
47,2,49.6,8,5,2,2.51,2026-03-24T17:41:32.307679Z
47,3,39.7,3,5,0,2.43,2026-03-31T17:41:32.307679Z
47,4,44.3,7,4,1,2.31,2026-04-06T17:41:32.307679Z
47,5,25.4,3,2,2,2.33,2026-04-14T17:41:32.307679Z
47,6,41.7,2,1,3,2.22,2026-04-20T17:41:32.307679Z
47,7,33.6,3,4,5,2.32,2026-04-25T17:41:32.307679Z
47,8,36.9,2,2,2,2.22,2026-05-04T17:41:32.307679Z
48,1,55.7,5,3,4,3.38,2026-03-16T17:41:32.307679Z
48,2,59.2,3,1,1,3.31,2026-03-20T17:41:32.307679Z
48,3,56.8,3,2,4,3.25,2026-03-30T17:41:32.307679Z
48,4,40.1,3,0,1,3.19,2026-04-04T17:41:32.307679Z
48,5,34.7,5,3,4,3.18,2026-04-14T17:41:32.307679Z
48,6,34.4,2,4,1,3.22,2026-04-16T17:41:32.307679Z
48,7,49.0,5,2,0,3.14,2026-04-24T17:41:32.307679Z
48,8,28.1,1,2,0,3.07,2026-05-04T17:41:32.307679Z
49,1,37.6,3,3,2,3.57,2026-03-14T17:41:32.307679Z
49,2,30.3,6,2,1,3.37,2026-03-20T17:41:32.307679Z
